frame,occluded,err_bx,err_by,err_py,err_vis,h_norm,belief_update_mag,weight_updates,hit_ratio,total_hits,total_misses,gravity,bounce,ball_speed
21700,0,0.001835,0.003774,0.01564,0.039627,5.550573,0.097126,632,1.0,1,0,0.045011,1.083173,4.8774
21800,0,0.016137,0.093501,0.008068,0.014964,6.087132,0.130074,635,1.0,2,0,0.045011,1.083173,4.8774
21900,0,0.00759,0.036822,0.003976,0.015941,5.586926,0.099174,637,1.0,2,0,0.045011,1.083173,4.8774
22000,0,0.009525,0.053508,0.000571,0.000683,5.563062,0.072731,639,1.0,3,0,0.045011,1.083173,4.8774
22100,0,0.008324,0.049695,0.0053,0.016568,5.512125,0.109879,642,1.0,3,0,0.045011,1.083173,4.8774
22200,0,0.00237,0.026122,0.0043,0.004572,6.096608,0.127708,644,1.0,4,0,0.045011,1.083173,4.8774
22300,0,0.017607,0.011023,0.020243,0.033604,5.837295,0.117666,646,1.0,5,0,0.045011,1.083173,4.8774
22400,0,0.012387,0.006344,0.014066,0.03262,5.741322,0.129874,648,1.0,5,0,0.045011,1.083173,4.8774
22500,0,0.013855,0.10933,0.007554,0.00635,5.997513,0.137891,651,1.0,6,0,0.045011,1.083173,4.8774
22600,0,0.003784,0.038589,0.002686,0.002978,5.8036,0.13506,655,0.0,0,0,0.045011,1.083173,4.8774
22700,0,0.009836,0.043697,0.004923,0.003195,5.532696,0.11499,657,0.0,0,0,0.045011,1.083173,4.8774
22800,0,0.009208,0.03378,0.015539,0.029497,5.76092,0.050616,659,0.0,0,0,0.045011,1.083173,4.8774
22900,0,0.000455,0.004085,0.022132,0.03212,5.8358,0.040128,660,1.0,1,0,0.045011,1.083173,4.8774
